Bacia Hidrográfica;Aproveitamento Hidráulico;N.º Contrato Concessão (CC);Finalidade CC;Data CC - Início;Data CC - Termo;Outros Usos albufeira;RH;Região hidrográfica;Código da massa de água;Designação da Massa de água
Douro;Vale Madeiro;CC N.º 00006/2013-RH3.1214.A de 23.4.2013;Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0248;Ribeira de Mourel
Douro;Vale Soeiro;Alvará de Licença Nº 9/89  de 04/12/1989;Energia;08/07/1994;08/07/2029;-;RH3;Douro;PT03DOU0453;Rio Paiva
Douro;Valeira;CC N.º  13/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;Navegação;RH3;Douro;PT03DOU0353A;Albufeira da Valeira
Douro;Valtorno;CC N.º 017/2012-RH3.1216.A, de 20.7.2012;Rega;20/07/2012;26/10/2031;-;RH3;Douro;PT03DOU0325A;Ribeiro Grande
Douro;Varosa;Diário do Governo nº 90, de 16/04/1973;Energia;16/04/1973;16/04/2033;-;RH3;Douro;PT03DOU0386;Albufeira do Varosa
Douro;Vermiosa;CC N.º 00003/2021-RH3.12.A, de 24.3.2021;Rega;24/03/2021;31/12/2046;-;RH3;Douro;PT03DOU0465;Ribeiro da Deveza
Douro;Vila Viçosa;"Alvará de licença nº 1/89 de 6 de novembro de
1989";Energia;13/09/1993;13/09/2028;-;RH3;Douro;PT03DOU0434;Rio Ardena
Douro;Vilar - Tabuaço;CC N.º  18/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2042;"Abastecimento público - CC;
Lazer/Balnear";RH3;Douro;PT03DOU0436;Albufeira Vilar - Tabuaço
Lis;Açude das Salgadas;CC N.º 1/AGRIC/SUP/RH4/2014;Rega;14/04/2014;30/06/2023;-;RH4A;Vouga, Mondego e Lis;PT04LIS0704;Lis
Lis;Açude do Arrabalde;CC N.º 1/AGRIC/SUP/RH4/2014;Rega;14/04/2014;30/06/2023;-;RH4A;Vouga, Mondego e Lis;PT04LIS0709B;Rio Lis
Mondego;Açude da Castanheira (deriva caudais para AH Santa Luzia);Decreto de 21 de fevereiro de 1957;Energia;21/02/1957;01/01/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0678;Rio Ceira
Mondego;Açude do Ceiroco (deriva caudais para AH Santa Luzia);Decreto de 21 de fevereiro de 1957;Energia;21/02/1957;01/01/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0678;Rio Ceira
Mondego;Açude do Tojo (deriva caudais para AH Santa Luzia);Decreto de 21 de fevereiro de 1957;Energia;21/02/1957;01/01/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0678;Rio Ceira
Mondego;"Açude dos Trinta - deriva para
central do Caldeirão";21/ENERGIA/INAG/2008 e adenda;Energia;08/03/2008;31/12/2053;-;RH4A;Vouga, Mondego e Lis;PT04MON0618A;Rio Mondego
Mondego;Aguieira;19/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Rega";RH4A;Vouga, Mondego e Lis;PT04MON0633;Albufeira da Aguieira
Mondego;Alto Ceira II;Decreto de 21 de fevereiro de 1957;Energia;21/02/1957;01/01/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0678;Rio Ceira
Mondego;Avô;Alvará de Licença N.º 118/97 MH (10);Energia;10/02/1997;10/02/2032;-;RH4A;Vouga, Mondego e Lis;PT04MON0658;Rio Alva
Mondego;Caldeirão;CC N.º 21/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;PT04MON0597;"Albufeira do Caldeirão
(Mondego)"
Mondego;Caniça;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0624;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)"
Mondego;Casal de Ermio;CC N.º 01/ENERGIA/APA-ARHC/2020;Energia;31/12/2023;31/12/2058;Rega - CC;RH4A;Vouga, Mondego e Lis;PT04MON0679;Rio Ceira
